gdrive_id,name,mime_type,size_bytes,duration_milliseconds,created_time,modified_time,parents,gdrive_path,gdrive_link,web_content_link,md5_checksum
1G7RcCvGstnr8mQPgCKNfVD4ZaSk4Tf5F,Dani Borges- 24-10-2025- 04.jpg,image/jpeg,2098833,,2025-10-27T10:44:44.857Z,2025-10-27T10:58:17.004Z,"[""1k2trWUwRvOi8p9gTx18eh07dHPZEgIkj""]",/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/Audiência  24-10-2025. Câmara de Vereadores de Pelotas/Dani Borges- 24-10-2025- 04.jpg,https://drive.google.com/file/d/1G7RcCvGstnr8mQPgCKNfVD4ZaSk4Tf5F/view?usp=drivesdk,https://drive.google.com/uc?id=1G7RcCvGstnr8mQPgCKNfVD4ZaSk4Tf5F&export=download,d7611e05449e54bec2338e7203dc17c6
1hDmEdCQR_yZm7W1R-hjYdmoD84bQaioK,Dani Borges- 24-10-2025- 03.jpg,image/jpeg,3201400,,2025-10-27T10:44:45.053Z,2025-10-27T10:58:09.287Z,"[""1k2trWUwRvOi8p9gTx18eh07dHPZEgIkj""]",/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/Audiência  24-10-2025. Câmara de Vereadores de Pelotas/Dani Borges- 24-10-2025- 03.jpg,https://drive.google.com/file/d/1hDmEdCQR_yZm7W1R-hjYdmoD84bQaioK/view?usp=drivesdk,https://drive.google.com/uc?id=1hDmEdCQR_yZm7W1R-hjYdmoD84bQaioK&export=download,de77f0c4eebf10561952721272cba948
1U8w3R1HDFUIyMF1fUB0XdIiIihLl8p-1,Dani Borges- 24-10-2025- 02.jpg,image/jpeg,3107469,,2025-10-27T10:44:45.252Z,2025-10-27T10:58:03.608Z,"[""1k2trWUwRvOi8p9gTx18eh07dHPZEgIkj""]",/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/Audiência  24-10-2025. Câmara de Vereadores de Pelotas/Dani Borges- 24-10-2025- 02.jpg,https://drive.google.com/file/d/1U8w3R1HDFUIyMF1fUB0XdIiIihLl8p-1/view?usp=drivesdk,https://drive.google.com/uc?id=1U8w3R1HDFUIyMF1fUB0XdIiIihLl8p-1&export=download,f544a13fc610e7d60529dc0a30a1b069
1D_jUIx51i-1-XW2zseYzFTarJD3HRHRY,Dani Borges- 24-10-2025- 01.jpg,image/jpeg,3019789,,2025-10-27T10:44:45.385Z,2025-10-27T10:57:58.444Z,"[""1k2trWUwRvOi8p9gTx18eh07dHPZEgIkj""]",/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/Audiência  24-10-2025. Câmara de Vereadores de Pelotas/Dani Borges- 24-10-2025- 01.jpg,https://drive.google.com/file/d/1D_jUIx51i-1-XW2zseYzFTarJD3HRHRY/view?usp=drivesdk,https://drive.google.com/uc?id=1D_jUIx51i-1-XW2zseYzFTarJD3HRHRY&export=download,f04ec89eafb400e22f826d991434fffb
1J6w43HAQsZ34Q6oy6LXKVaw3gWcNIL28,Dani Borges-Pescador Henrique 15-11-25 02.m4a,audio/mpeg,81835847,,2025-11-15T21:14:00.489Z,2025-11-15T21:14:01.492Z,"[""1jOj3477v-perl551b1_ph2hhpQ6T_pj5""]","/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/BARRA DE PELOTAS - Fotos, Vídeos, Áudios/AUDIOS /Dani Borges-Pescador Henrique 15-11-25 02.m4a",https://drive.google.com/file/d/1J6w43HAQsZ34Q6oy6LXKVaw3gWcNIL28/view?usp=drivesdk,https://drive.google.com/uc?id=1J6w43HAQsZ34Q6oy6LXKVaw3gWcNIL28&export=download,c8060e2842514a920c4e01b0305e1c8b
1nM3OjJzl9SKE2kfM0hb9I0toHH7CeEsn,"Célia- Aúdio sobre fotos perdidas Dani Borges- 20 de jun., 12.06​.m4a",audio/mpeg,3985584,,2025-10-16T13:28:21.269Z,2025-10-16T13:32:50.334Z,"[""1jOj3477v-perl551b1_ph2hhpQ6T_pj5""]","/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/BARRA DE PELOTAS - Fotos, Vídeos, Áudios/AUDIOS /Célia- Aúdio sobre fotos perdidas Dani Borges- 20 de jun., 12.06​.m4a",https://drive.google.com/file/d/1nM3OjJzl9SKE2kfM0hb9I0toHH7CeEsn/view?usp=drivesdk,https://drive.google.com/uc?id=1nM3OjJzl9SKE2kfM0hb9I0toHH7CeEsn&export=download,abe2021983649ca94b8341ab69bc04e5
1q-YTUFoFD6cUbMGxhje4ScrMa-gIOLk2,"Célia Áudio sobre Fotos Perdidas 20 de jun., 12.06​.m4a",audio/mpeg,3985584,,2025-10-16T13:30:02.011Z,2025-10-16T13:32:14.481Z,"[""1jOj3477v-perl551b1_ph2hhpQ6T_pj5""]","/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/BARRA DE PELOTAS - Fotos, Vídeos, Áudios/AUDIOS /Célia Áudio sobre Fotos Perdidas 20 de jun., 12.06​.m4a",https://drive.google.com/file/d/1q-YTUFoFD6cUbMGxhje4ScrMa-gIOLk2/view?usp=drivesdk,https://drive.google.com/uc?id=1q-YTUFoFD6cUbMGxhje4ScrMa-gIOLk2&export=download,abe2021983649ca94b8341ab69bc04e5
1Vx1caBv70eZxwSH-bhCLe8Z8XAUQEtqp,Barra - Célia 20.05 Parte I.mp3,audio/mpeg,69902932,,2025-07-23T13:58:19.827Z,2009-01-01T03:00:00.000Z,"[""1jOj3477v-perl551b1_ph2hhpQ6T_pj5""]","/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/BARRA DE PELOTAS - Fotos, Vídeos, Áudios/AUDIOS /Barra - Célia 20.05 Parte I.mp3",https://drive.google.com/file/d/1Vx1caBv70eZxwSH-bhCLe8Z8XAUQEtqp/view?usp=drivesdk,https://drive.google.com/uc?id=1Vx1caBv70eZxwSH-bhCLe8Z8XAUQEtqp&export=download,3261dff578bbcc3d797c1c923e38f641
1yotl18x6nzPZAo8SBDQ3dDxt646geQUn,Barra - Célia 18.07 Parte II.mp3,audio/mpeg,42710508,,2025-07-23T14:01:25.943Z,2009-01-01T03:00:00.000Z,"[""1jOj3477v-perl551b1_ph2hhpQ6T_pj5""]","/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/BARRA DE PELOTAS - Fotos, Vídeos, Áudios/AUDIOS /Barra - Célia 18.07 Parte II.mp3",https://drive.google.com/file/d/1yotl18x6nzPZAo8SBDQ3dDxt646geQUn/view?usp=drivesdk,https://drive.google.com/uc?id=1yotl18x6nzPZAo8SBDQ3dDxt646geQUn&export=download,e634c7549c34fccb42e6f909fed34802
1T1jJzIw73hpxVow_2o_PmyzO6heJYVok,MVI_7765.MOV,video/quicktime,509299312,87170,2025-11-28T14:17:26.810Z,2024-11-12T15:24:48.000Z,"[""1Sx-xhhBXYS0ai2X4bhXvlJqOHNo5wKvx""]","/Meu Drive/Projeto Desastres Climáticos/IMAGENS e ÁUDIOS/DOQUINHAS- Fotos, Vídeos e Áudios/Dona Gilda 12-11-25- Dani Borges ORGANIZAR/MVI_7765.MOV",https://drive.google.com/file/d/1T1jJzIw73hpxVow_2o_PmyzO6heJYVok/view?usp=drivesdk,https://drive.google.com/uc?id=1T1jJzIw73hpxVow_2o_PmyzO6heJYVok&export=download,1bed0ca31737ca32950c86a4be719964
